  League,  Season, Date,  Opposition, Location, Result,  Guildford Points, Opposition Points,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 
 London 1 S, 2014-15,13/09/2014, Basingstoke, Home, Win,37 ,31 , J Read, B Holden, B Mairs, K Mannering, R Mitchell, J Roberts, P Lucas, N Taft, T Gill, A Vaughan, A Jordan, R Andrews, S Flannery, B Barrow, J Adam, T Bridgland, R Brooker, S Fee
 London 1 S, 2014-15,06/09/2014, Sutton & Epsom, Away, Win,26 ,24 , M Watkinson, B Holden, B Mairs, K Mannering, R Mitchell, J Roberts, J Kirk, M Stockdale, R Andrews, A Vaughan, A Jordan, C King, B Barrow, S Barclay, J Adam, T Bridgland, R Brooker, S Fee
 London 2 SW, 2013-14,12/04/2014, London Cornish, Away, Win,48 ,21 , B Holden, M Covington, M Watkinson, M Stockdale, R Mitchell, J Roberts, J Kirk, N Taft, M Shea, S Fee, B Barrow, M Humphries, R Andrews, J Stillwell, B Hopkin, T Bridgland, L Fennemore, A Vaughan
 London 2 SW, 2013-14,05/04/2014, Trojans, Home, Win,57 ,10 , M Watkinson, M Covington, B Mairs, J Taylor, L Fennemore, M Stockdale, J Roberts, N Taft, M Shea, S Fee, B Barrow, M Humphries, N Tidman, J Stillwell, B Hopkin, R Thornber, B Holden, A Jordan
 London 2 SW, 2013-14,29/03/2014, Weybridge Vandals, Away, Win,31 ,7 , M Watkinson, B Holden, B Mairs, R Mitchell, J Taylor, J Roberts, J Kirk, N Taft, R Andrews, S Fee, B Barrow, M Humphries, N Tidman, A Jordan, B Hopkin, M Covington, M Stockdale, J Stillwell
 London 2 SW, 2013-14,22/03/2014, Portsmouth, Away, Win,33 ,10 , M Watkinson, M Covington, B Mairs, R Mitchell, J Taylor, M Stockdale, J Kirk, N Taft, M Shea, S Fee, B Barrow, R Andrews, N Tidman, A Jordan, A Vaughan, B Holden, R Brooker, M Humphries
 London 2 SW, 2013-14,08/03/2014, Gosport & Fareham, Home, Win,32 ,10 , M Watkinson, B Holden, B Mairs, R Mitchell, J Taylor, J Roberts, J Kirk, M Stockdale, M Shea, A Vaughan, J Stillwell, M Humphries, B Barrow, A Jordan, J Adam, T Bridgland, P Lucas, S Fee
 London 2 SW, 2013-14,01/03/2014, Tottonians, Away, Win,47 ,3 , M Watkinson, M Covington, B Mairs, K Mannering, L Fennemore, J Roberts, P Lucas, J Kirk, M Shea, A Vaughan, J Stillwell, M Humphries, N Tidman, A Jordan, J Adam, B Holden, R Brooker, S Fee
 London 2 SW, 2013-14,15/02/2014, Teddington, Home, Win,57 ,-  , M Watkinson, M Covington, B Mairs, J Taylor, R Mitchell, J Roberts, J Kirk, M Stockdale, M Shea, A Vaughan, J Stillwell, M Humphries, N Tidman, A Jordan, J Adam, B Holden, P Lucas, B Hopkin
 London 2 SW, 2013-14,01/02/2014, Old Alleynians, Home, Win,53 ,8 , M Watkinson, M Covington, B Mairs, J Taylor, R Mitchell, J Roberts, P Lucas, R Brooker, M Shea, A Vaughan, J Stillwell, S Fee, N Tidman, B Hopkin, J Adam, T Bridgland, B Holden, N Clarke
 London 2 SW, 2013-14,18/01/2014, Old Reigatians, Away, Win,22 ,11 , M Watkinson, M Covington, B Mairs, L Fennemore, R Mitchell, J Roberts, J Kirk, J Taylor, M Shea, A Vaughan, J Stillwell, N Tidman, M Humphries, B Hopkin, J Adam, T Bridgland, R Brooker, R Andrews
 London 2 SW, 2013-14,11/01/2014, Winchester, Home, Win,30 ,19 , R Thornber, M Covington, T Bridgland, K Mannering, R Mitchell, J Roberts, B Leah, P Lucas, T Fuller, A Vaughan, J Stillwell, N Tidman, M Humphries, A Jordan, B Hopkin, B Mairs, R Brooker, R Andrews
 London 2 SW, 2013-14,14/12/2013, Effingham & Leatherhead, Home, Win,38 ,8 , M Watkinson, T Bridgland, R Thornber, K Mannering, R Mitchell, J Roberts, J Kirk, J Taylor, M Shea, A Vaughan, J Stillwell, N Tidman, M Humphries, A Jordan, J Adam, R Brooker, B Leah, S Fee
 London 2 SW, 2013-14,07/12/2013, Trojans, Away, Win,20 ,13 , R Thornber, M Covington, B Mairs, K Mannering, R Mitchell, J Roberts, J Taylor, N Taft, M Shea, A Vaughan, J Stillwell, N Tidman, B Barrow, M McEwan, J Adam, T Bridgland, B Leah, B Hopkin
 London 2 SW, 2013-14,30/11/2013, Portsmouth, Home, Win,69 ,10 , R Thornber, M Covington, B Mairs, K Mannering, R Mitchell, J Roberts, B Leah, J Taylor, M Shea, A Vaughan, J Stillwell, N Tidman, M Humphries, B Barrow, J Adam, T Bridgland, R Brooker, B Hopkin
 London 2 SW, 2013-14,28/11/2013, Gosport & Fareham, Away, Lose,15 ,18 , R Thornber, M Covington, B Mairs, K Mannering, R Mitchell, J Roberts, J Kirk, J Taylor, M Shea, A Vaughan, J Stillwell, N Tidman, M Humphries, S Phillips, J Adam, T Bridgland, R Brooker, B Hopkin
 London 2 SW, 2013-14,09/11/2013, Tottonians, Home, Win,36 ,25 , R Thornber, M Covington, B Mairs, K Mannering, R Mitchell, J Roberts, J Kirk, N Taft, M Shea, A Vaughan, B Barrow, N Tidman, M Humphries, S Phillips, J Adam, M Watkinson, L Fennemore, B Hopkin
 London 2 SW, 2013-14,02/11/2013, Teddington, Away, Win,41 ,7 , R Thornber, M Covington, B Mairs, J Taylor, R Mitchell, J Roberts, J Kirk, N Taft, M Shea, A Vaughan, B Barrow, N Tidman, B Hopkin, S Phillips, J Adam, B Leah, K Mannering, M Humphries
 London 2 SW, 2013-14,26/10/2013, Weybridge Vandals, Home, Win,33 ,7 , R Thornber, M Covington, B Mairs, L Fennemore, R Mitchell, J Roberts, J Kirk, N Taft, M Shea, B Hopkin, N Clarke, N Tidman, B Barrow, S Phillips, J Adam, M Watkinson, K Mannering, A Vaughan
 London 2 SW, 2013-14,12/10/2013, Old Alleynians, Home, Win,40 ,23 , T Bridgland, M Covington, B Mairs, K Mannering, R Mitchell, J Roberts, P Lucas, N Taft, P Davey, A Vaughan, S Phillips, N Tidman, B Barrow, J Stillwell, J Adam, B Leah, J Kirk, S Fee
 London 2 SW, 2013-14,05/10/2013, Winchester, Away, Win,27 ,21 , M Watkinson, M Covington, B Mairs, K Mannering, R Mitchell, J Roberts, P Lucas, J Kirk, M Shea, A Vaughan, T McEwan, N Tidman, J Stillwell, S Phillips, J Adam, T Bridgland, R Brooker, B Hopkin
 London 2 SW, 2013-14,28/09/2013, Old Reigatians, Home, Win,39 ,12 , M Watkinson, R Brooker, B Mairs, K Mannering, L Fennemore, J Roberts, J Kirk, J Taylor, T Fuller, A Vaughan, B Barrow, N Tidman, M Humphries, S Phillips, J Adam, R Thornber, T Devereux, M Shea
 London 2 SW, 2013-14,21/09/2013, Effingham & Leatherhead, Away, Win,50 ,5 , M Watkinson, M Covington, B Mairs, K Mannering, R Mitchell, J Roberts, J Kirk, N Taft, T Fuller, A Vaughan, J Stillwell, M Humphries, B Barrow, S Phillips, J Adam, T Bridgland, L Fennemore, N Tidman
 London 2 SW, 2013-14,14/09/2013, London Cornish, Home, Win,22 ,10 , M Watkinson, M Covington, B Mairs, K Mannering, R Mitchell, J Roberts, J Kirk, J Rand, C Jordan, A Vaughan, S Phillips, S Fee, B Barrow, N Clarke, J Adam, R Thornber, P Lucas, E Rich
 London 2 SW, 2012-13,13/04/2013, Chobham, Home, Lose,17 ,20 , M Watkinson, T Bridgland, B Mairs, R Mitchell, K Mannering, J Roberts, J Burrows, N Taft, M Shea, A Vaughan, S Barclay, N Tidman, F Efthymiou, T McEwan, J Adam, R Thornber, R Brooker, B Barrow
 London 2 SW, 2012-13,06/04/2013, Camberley, Away, Win,86 ,6 , M Watkinson, T Bridgland, B Mairs, L Fennemore, K Mannering, J Roberts, J Kirk, R Mitchell, M Shea, A Vaughan, S Barclay, N Tidman, M Humphries, F Efthymiou, J Adam, R Thornber, M Clet, T McEwan
 London 2 SW, 2012-13,22/03/2013, Tottonians, Home, Win,33 ,3 , M Watkinson, J Hatcher, B Mairs, R Mitchell, K Mannering, J Roberts, J Burrows, R Brooker, M Shea, A Vaughan, S Barclay, N Tidman, M Humphries, F Efthymiou, J Adam, T Bridgland, L Fennemore, B Barrow
 London 2 SW, 2012-13,09/03/2013, Effingham & Leatherhead, Home, Win,35 ,10 , M Watkinson, J Hatcher, B Mairs, R Mitchell, K Mannering, J Roberts, J Burrows, J Kirk, M Shea, A Vaughan, S Barclay, N Tidman, M Humphries, F Efthymiou, J Adam, T Bridgland, R Brooker, T McEwan
 London 2 SW, 2012-13,02/03/2013, Old Reigatians, Away, Win,60 ,6 , M Watkinson, J Hatcher, B Mairs, R Mitchell, K Mannering, J Roberts, J Burrows, N Taft, M Shea, A Vaughan, S Barclay, N Tidman, M Humphries, F Efthymiou, J Adam, T Bridgland, R Brooker, T McEwan
 London 2 SW, 2012-13,16/02/2013, Teddington, Home, Win,29 ,3 , T Bridgland, J Hatcher, R Thornber, R Mitchell, K Mannering, J Rand, J Burrows, N Taft, M Shea, A Vaughan, S Barclay, M Humphries, F Efthymiou, B Barrow, J Adam, M Watkinson, J Roberts, R Brooker
 London 2 SW, 2012-13,08/02/2013, London Cornish, Away, Win,31 ,6 , M Watkinson, T Bridgland, B Mairs, R Mitchell, K Mannering, R Brooker, J Kirk, J Rand, M Shea, A Vaughan, B Barrow, M Humphries, N Tidman, F Efthymiou, J Adam, J Hatcher, L Fennemore, T McEwan
 London 2 SW, 2012-13,02/02/2013, Old Alleynians, Away, Win,35 ,5 , M Watkinson, J Hatcher, B Mairs, R Mitchell, K Mannering, J Roberts, J Burrows, J Rand, M Shea, M Humphries, A Gee, N Tidman, J Adam, B Barrow, R Brooker, T Bridgland, J Kirk, P Davey
 London 2 SW, 2012-13,26/01/2013, Portsmouth, Home, Win,46 ,6 , M Watkinson, J Hatcher, B Mairs, R Mitchell, K Mannering, J Roberts, J Burrows, N Taft, M Shea, A Vaughan, S Barclay, M Humphries, N Tidman, F Efthymiou, J Adam, T Bridgland, R Brooker, B Barrow
 London 2 SW, 2012-13,12/01/2013, KCS Old Boys, Home, Win,54 ,-  , M Watkinson, T Bridgland, R Thornber, R Mitchell, K Mannering, J Roberts, J Burrows, J Rand, M Shea, B Hopkin, T McEwan, A Vaughan, M Humphries, S Barclay, J Adam, J Hatcher, R Brooker, F Efthymiou
 London 2 SW, 2012-13,05/01/2013, Sutton & Epsom, Away, Lose,19 ,21 , M Watkinson, J Hatcher, B Mairs, L Fennemore, K Mannering, R Brooker, J Burrows, N Taft, M Shea, B Hopkin, T McEwan, A Vaughan, J Adam, S Barclay, N Tidman, T Bridgland, J Roberts, J Stillwell
 London 2 SW, 2012-13,15/12/2012, Camberley, Home, Win,39 ,15 , R Thornber, J Hatcher, B Mairs, L Fennemore, K Mannering, R Brooker, J Burrows, J Roberts, M Shea, B Hopkin, S Barclay, N Tidman, J Adam, J Stillwell, T McEwan, T Bridgland, T Devereux, C Maguire
 London 2 SW, 2012-13,08/12/2012, Tottonians, Away, Lose,20 ,39 , R Thornber, J Hatcher, B Mairs, L Fennemore, K Mannering, R Brooker, J Burrows, J Kirk, M Shea, A Vaughan, J Stillwell, N Tidman, J Adam, T McEwan, B Hopkin, T Bridgland, T Devereux, M Evans
 London 2 SW, 2012-13,24/11/2012, Effingham & Leatherhead, Away, Win,30 ,12 , R Thornber, J Hatcher, B Mairs, L Fennemore, K Mannering, R Brooker, J Burrows, J Kirk, M Shea, A Vaughan, S Barclay, M Humphries, J Adam, J Stillwell, B Hopkin, T Bridgland, T Devereux, F Efthymiou
 London 2 SW, 2012-13,17/11/2012, Old Reigatians, Home, Lose,15 ,26 , R Thornber, T Bridgland, B Mairs, L Fennemore, K Mannering, J Kirk, J Burrows, N Taft, M Shea, A Vaughan, T McEwan, M Humphries, J Adam, J Stillwell, B Hopkin, J Hatcher, R Brooker, S Barclay
 London 2 SW, 2012-13,03/11/2012, Teddington, Away, Win,27 ,23 , M Clet, T Bridgland, R Thornber, L Fennemore, K Mannering, R Brooker, J Burrows, J Kirk, M Shea, B Hopkin, A Gee, M Humphries, J Adam, J Stillwell, N Tidman, J Hatcher, K Casey, M Evans
 London 2 SW, 2012-13,27/10/2012, London Cornish, Home, Win,43 ,18 , M Clet, J Hatcher, B Mairs, L Fennemore, K Mannering, J Kirk, J Burrows, N Taft, M Shea, B Hopkin, S Barclay, M Humphries, J Adam, T McEwan, A Vaughan, K Casey, R Brooker, N Tidman
 London 2 SW, 2012-13,20/10/2012, Portsmouth, Away, Lose,10 ,27 , M Clet, T Bridgland, B Mairs, L Fennemore, J Rand, J Kirk, S Vickery, K Casey, M Shea, B Hopkin, T McEwan, M Humphries, J Adam, A Vaughan, N Tidman, J Hatcher, K Mannering, J Stillwell
 London 2 SW, 2012-13,06/10/2012, Old Alleynians, Home, Win,33 ,3 , M Watkinson, T Bridgland, B Mairs, L Fennemore, J Rand, R Brooker, J Roberts, N Steynberg, S Tetzlaff, B Hopkin, M Shea, N Tidman, J Adam, T McEwan, A Vaughan, M Clet, J Burrows, S Barclay
 London 2 SW, 2012-13,29/09/2012, KCS Old Boys, Away, Win,41 ,20 , M Watkinson, T Bridgland, B Mairs, L Fennemore, N Steynberg, R Brooker, J Roberts, K Casey, M Shea, B Hopkin, T McEwan, N Tidman, J Adam, A Plaistowe, A Vaughan, S Vickery, J Kirk, J Conway
 London 2 SW, 2012-13,22/09/2012, Sutton & Epsom, Home, Lose,14 ,46 , M Watkinson, T Bridgland, B Mairs, S McCarthy, R Mitchell, J Kirk, R Brooker, J Roberts, M Shea, B Hopkin, J Conway, N Tidman, J Adam, A Jordan, M McEwan, K Casey, L Fennemore, S Barclay
 London 2 SW, 2012-13,15/09/2012, Chobham, Away, Win,24 ,21 , M Watkinson, T Bridgland, B Mairs, J Rand, R Mitchell, J Malan, R Brooker, J Roberts, M Shea, B Hopkin, T McEwan, N Tidman, J Adam, A Jordan, M Humphries, K Casey, B Holden, M McEwan
 London 2 SW, 2011-12,14/04/2012, Gosport & Fareham, Home, Lose,17 ,20 , M Watkinson, J Hatcher, T Bridgland, N Steynberg, R Mitchell, K Casey, S Vickery, R McGuinness, R Brooker, A Vaughan, A Gee, N Tidman, J Adam, S Phillips, D Elley, M Clet, L Fennemore, M Shea
 London 2 SW, 2011-12,07/04/2012, Teddington, Away, Lose,13 ,36 , M Watkinson, J Hatcher, T Bridgland, L Fennemore, T Price, K Casey, S Vickery, R McGuinness, R Brooker, A Vaughan, A Gee, J Adam, D Elley, M Evans, J Denning, M Clet, T Rankin, S Phillips
 London 2 SW, 2011-12,31/03/2012, Tottonians, Away, Lose,17 ,46 , M Watkinson, J Hatcher, T Bridgland, L Fennemore, R Mitchell, K Casey, S Vickery, R McGuinness, R Brooker, A Vaughan, A Gee, N Tidman, J Adam, M Evans, E Rich, L Green, A Barbier, S Beadle
 London 2 SW, 2011-12,24/03/2012, Camberley, Home, Win,27 ,17 , M Clet, J Hatcher, T Bridgland, L Fennemore, R Mitchell, K Casey, S Vickery, R McGuinness, R Brooker, A Vaughan, S Beadle, N Tidman, J Adam, M Shea, E Rich, M Watkinson, A Barbier, M Evans
 London 2 SW, 2011-12,10/03/2012, Bognor, Away, Lose,12 ,23 , M Clet, J Hatcher, T Bridgland, L Fennemore, T Price, M Watkinson, S Vickery, K Casey, R Brooker, A Vaughan, A Gee, N Tidman, J Adam, S Beadle, E Rich, A Barbier, D Kellerman, P Davey
 London 2 SW, 2011-12,03/03/2012, London Cornish, Home, Win,37 ,12 , M Clet, J Hatcher, T Bridgland, L Fennemore, R Mitchell, K Casey, M Stuart, R McGuinness, R Brooker, A Vaughan, A Gee, N Tidman, J Adam, S Phillips, E Rich, M Watkinson, S Vickery, S Beadle
 London 2 SW, 2011-12,18/02/2012, Old Reigatians, Home, Win,13 ,11 , M Clet, J Hatcher, T Bridgland, L Fennemore, R Mitchell, K Casey, M Stuart, R McGuinness, M Shea, A Vaughan, A Gee, N Tidman, J Adam, S Phillips, D Elley, M Watkinson, R Brooker, E Rich
 London 2 SW, 2011-12,28/01/2012, Wimbledon, Home, Lose,15 ,34 , M Watkinson, J Hatcher, T Bridgland, L Fennemore, R Mitchell, S McCarthy, J Kirk, R McGuinness, M Shea, A Vaughan, D Elley, D McDavitt, J Adam, S Phillips, N Tidman, L Green, R Brooker, M Evans
 London 2 SW, 2011-12,14/01/2012, Twickenham, Away, Win,37 ,8 , M Watkinson, J Hatcher, T Bridgland, N Steynberg, R Mitchell, K Casey, J Kirk, R McGuinness, M Shea, A Vaughan, D Elley, D McDavitt, J Adam, S Phillips, N Tidman, L Green, L Fennemore, R Brooker
 London 2 SW, 2011-12,07/01/2012, Effingham & Leatherhead, Home, Win,21 ,19 , M Watkinson, J Hatcher, T Bridgland, L Fennemore, R Mitchell, S McCarthy, J Kirk, R McGuinness, M Shea, A Vaughan, D Elley, D McDavitt, J Adam, S Phillips, N Tidman, L Green, R Brooker, M Evans
 London 2 SW, 2011-12,17/12/2011, Chobham, Away, Win,35 ,5 , M Watkinson, J Hatcher, T Bridgland, L Fennemore, R Mitchell, N Steynberg, J Kirk, R McGuinness, R Brooker, A Vaughan, M Evans, D McDavitt, J Adam, S Phillips, N Tidman, L Green, A Barbier, T Rankin
 London 2 SW, 2011-12,10/12/2011, Tottonians, Home, Win,36 ,15 , M Watkinson, J Hatcher, L Green, N Steynberg, R Mitchell, A King, J Kirk, R McGuinness, M Shea, A Vaughan, R Brooker, N Tidman, J Adam, D Elley, T Felan, T Bridgland, L Fennemore, M Evans
 London 2 SW, 2011-12,03/12/2011, Camberley, Away, Win,43 ,22 , M Watkinson, J Hatcher, T Bridgland, N Steynberg, R Mitchell, A King, J Kirk, R McGuinness, M Shea, A Vaughan, A Gee, J Adam, D Elley, S Phillips, T Felan, L Green, R Brooker, L Fennemore
 London 2 SW, 2011-12,19/11/2011, Bognor, Home, Win,31 ,10 , M Watkinson, T Bridgland, A Fraser, L Fennemore, R Mitchell, J Rand, R Brooker, N Steynberg, T Felan, A Vaughan, A Gee, D McDavitt, J Adam, S Phillips, N Tidman, M Lambourne, J Kirk, D Elley
 London 2 SW, 2011-12,12/11/2011, London Cornish, Away, Win,23 ,13 , M Watkinson, T Bridgland, B Mairs, L Fennemore, R Mitchell, J Rand, R Brooker, R McGuinness, M Shea, A Vaughan, A Gee, N Tidman, J Adam, S Phillips, D Elley, A Fraser, M Covington, D McDavitt
 London 2 SW, 2011-12,29/10/2011, Old Reigatians, Away, Lose,10 ,22 , M Watkinson, T Bridgland, A Fraser, N Steynberg, R Mitchell, A Barbier, D Kellerman, R McGuinness, M Shea, T Felan, A Gee, N Tidman, J Adam, S Phillips, A Plaistowe, M Lambourne, R Brooker, A Vaughan
 London 2 SW, 2011-12,22/10/2011, Teddington, Home, Win,18 ,16 , M Watkinson, J Hatcher, T Bridgland, N Steynberg, R Mitchell, A Smith, J Kirk, R McGuinness, R Brooker, T Felan, J Adam, D McDavitt, T Brown, S Phillips, N Tidman, A Fraser, A Barbier, A Gee
 London 2 SW, 2011-12,08/10/2011, Wimbledon, Away, Lose,11 ,50 , M Watkinson, J Hatcher, T Bridgland, S McCarthy, R Mitchell, J Kirk, A Barbier, A King, R Brooker, T Felan, S Phillips, D McDavitt, T Brown, A Gee, N Tidman, A Fraser, D Kellerman, J Adam
 London 2 SW, 2011-12,01/10/2011, Twickenham, Home, Win,27 ,20 , M Watkinson, J Hatcher, A Fraser, L Fennemore, R Mitchell, A Smith, A Barbier, R McGuinness, R Brooker, T Felan, S Phillips, D McDavitt, T Brown, A Gee, N Tidman, G Hodgson, D Kellerman, J Adam
 London 2 SW, 2011-12,24/09/2011, Effingham & Leatherhead, Away, Win,36 ,3 , M Watkinson, J Hatcher, T Bridgland, S McCarthy, R Mitchell, A Smith, J Kirk, R McGuinness, R Brooker, T Brown, S Phillips, D McDavitt, N Tidman, A Gee, A Plaistowe, A Fraser, L Fennemore, T Felan
 London 2 SW, 2011-12,17/09/2011, Chobham, Home, Win,25 ,12 , M Watkinson, J Hatcher, T Bridgland, N Steynberg, R Mitchell, A Smith, J Kirk, R McGuinness, R Brooker, T Brown, S Phillips, D McDavitt, N Tidman, A Gee, A Plaistowe, T Kiley, M Stuart, J Adam
 London 2 SW, 2011-12,10/09/2011, Gosport & Fareham, Away, Lose,3 ,30 , A Fraser, J Hatcher, T Bridgland, N Steynberg, L Fennemore, M Stuart, D Kellerman, J Kirk, R Brooker, A Vaughan, S Phillips, D McDavitt, R McGuinness, J Denning, A Plaistowe, J Blignaut, A King, A Gee
 London 2 SW, 2010-11,09/04/2011, Gosport & Fareham, Away, Lose,12 ,18 , M Watkinson, T Bridgland, M Lambourne, S McCarthy, J Rand, M Covington, D Rae, J Kirk, R Brooker, A Vaughan, C Clarence-Smith, N Tidman, T Brown, S Phillips, D Elley, R McGuinness, R Mitchell, A Plaistowe
 London 2 SW, 2010-11,26/03/2011, Tottonians, Home, Win,34 ,17 , M Watkinson, T Bridgland, M Lambourne, S McCarthy, J Rand, M Covington, D Rae, J Kirk, R Brooker, A Vaughan, D Elley, D McDavitt, T Brown, J Denning, N Tidman, J Hatcher, R Mitchell, S Phillips
 London 2 SW, 2010-11,12/03/2011, Guernsey, Away, Lose,10 ,13 , M Watkinson, T Bridgland, M Lambourne, S McCarthy, J Rand, J Kirk, D Rae, R McGuinness, R Brooker, A Vaughan, D Elley, D McDavitt, T Brown, J Denning, N Tidman, J Hatcher, M Covington, C Clarence-Smith
 London 2 SW, 2010-11,05/03/2011, Old Reigatians, Home, Win,37 ,10 , M Watkinson, T Bridgland, M Lambourne, S McCarthy, J Rand, J Kirk, D Rae, R McGuinness, R Brooker, A Vaughan, D Elley, D McDavitt, T Brown, J Denning, N Tidman, J Hatcher, M Covington, C Clarence-Smith
 London 2 SW, 2010-11,26/02/2011, Effingham & Leatherhead, Home, Lose,11 ,16 , J Blignaut, T Bridgland, M Lambourne, R Mitchell, J Rand, S McCarthy, J Kirk, R McGuinness, A Houston, A Vaughan, D Elley, N Tidman, T Brown, S Phillips, R Brooker, J Hatcher, M Covington, J Denning
 London 2 SW, 2010-11,19/02/2011, Trojans, Away, Lose,13 ,28 , M Watkinson, T Bridgland, J Hatcher, R Mitchell, S McCarthy, M Covington, D Rae, R McGuinness, R Brooker, A Vaughan, D Elley, D McDavitt, T Brown, S Phillips, N Tidman, M Lambourne, A King, J Denning
 London 2 SW, 2010-11,12/02/2011, Guernsey, Home, Win,25 ,13 , M Watkinson, T Bridgland, M Lambourne, R Mitchell, S McCarthy, R Brooker, D Rae, R McGuinness, A Houston, A Vaughan, D Elley, D McDavitt, T Brown, S Phillips, N Tidman, J Hatcher, J Kirk, A King
 London 2 SW, 2010-11,05/02/2011, Bognor, Home, Win,19 ,-  , M Watkinson, T Bridgland, M Lambourne, R Mitchell, J Rand, M Covington, D Rae, A Smith, R Brooker, A Vaughan, D Elley, D McDavitt, T Brown, S Phillips, N Tidman, J Hatcher, J Kirk, J Denning
 London 2 SW, 2010-11,29/01/2011, Weybridge Vandals, Away, Win,39 ,3 , T Bridgland, J Hatcher, B Mairs, R Mitchell, J Rand, M Covington, D Rae, A Smith, A Houston, A Vaughan, D Elley, D McDavitt, T Brown, S Phillips, N Tidman, M Watkinson, R McGuinness, J Denning
 London 2 SW, 2010-11,21/01/2011, London Cornish, Away, Win,21 ,13 , M Watkinson, T Bridgland, B Mairs, R Mitchell, J Rand, A Smith, D Rae, R McGuinness, R Brooker, A Vaughan, D Elley, D McDavitt, T Brown, S Phillips, N Tidman, J Hatcher, M Covington, J Denning
 London 2 SW, 2010-11,15/01/2011, Twickenham, Home, Win,25 ,13 , M Watkinson, T Bridgland, B Mairs, R Mitchell, J Rand, A Smith, D Rae, R McGuinness, R Brooker, T Brown, D Elley, D McDavitt, C Clarence-Smith, S Phillips, N Tidman, J Hatcher, M Covington, J Denning
 London 2 SW, 2010-11,08/01/2011, KCS Old Boys, Home, Win,25 ,23 , M Watkinson, J Hatcher, B Mairs, R Mitchell, J Rand, A Smith, D Rae, R McGuinness, R Brooker, A Vaughan, D Elley, D McDavitt, C Clarence-Smith, S Phillips, J Denning, T Bridgland, T Brown (2), L Kavanagh
 London 2 SW, 2010-11,10/12/2010, Tottonians, Away, Lose,22 ,37 , M Watkinson, T Bridgland, B Mairs, R Mitchell, J Rand, M Covington, D Rae, R McGuinness, R Brooker, A Vaughan, S Phillips, L Kavanagh, C Clarence-Smith, D McDavitt, D Elley, J Hatcher, P Davey, J Denning
 London 2 SW, 2010-11,20/11/2010, Old Reigatians, Away, Win,25 ,16 , M Watkinson, T Bridgland, B Mairs, J Rand, A Smith, M Covington, D Rae, R Mitchell, R Brooker, A Vaughan, R McGuinness, L Kavanagh, C Clarence-Smith, S Phillips, D Elley, J Hatcher, S Dawson, J Denning
 London 2 SW, 2010-11,13/11/2010, Trojans, Home, Lose,12 ,22 , T Bridgland, J Hatcher, B Mairs, S McCarthy, J Rand, R Brooker, D Rae, R Mitchell, P Davey, A Vaughan, R McGuinness, N Tidman, L Kavanagh, S Phillips, D Elley, M Lambourne, S Dawson, S Beadle
 London 2 SW, 2010-11,30/10/2010, Bognor, Away, Win,15 ,11 , M Watkinson, T Bridgland, B Mairs, S McCarthy, J Rand, M Covington, A Smith, R Mitchell, R Brooker, A Vaughan, R McGuinness, L Kavanagh, D McDavitt, S Phillips, D Elley, J Hatcher, D Rae, P Davey
 London 2 SW, 2010-11,23/10/2010, Weybridge Vandals, Home, Win,34 ,26 , M Watkinson, J Hatcher, B Mairs, S McCarthy, J Rand, A Smith, D Rae, R Mitchell, A Houston, A Vaughan, R McGuinness, N Tidman, D McDavitt, S Phillips, A Plaistowe, T Bridgland, M Covington, L Kavanagh
 London 2 SW, 2010-11,09/10/2010, London Cornish, Home, Win,29 ,27 , M Watkinson, T Bridgland, B Mairs, S McCarthy, J Rand, D Rae, M Covington, A Smith, R Brooker, A Plaistowe, R McGuinness, N Tidman, D McDavitt, S Phillips, D Elley, J Hatcher, R Kirk, J Conway
 London 2 SW, 2010-11,02/10/2010, Twickenham, Away, Win,17 ,10 , M Watkinson, T Bridgland, B Mairs, S McCarthy, J Rand, D Rae, M Covington, A Smith, R Brooker, A Vaughan, D Elley, N Tidman, D McDavitt, S Phillips, J Conway, P Davey, E Scott-Bowden, S Vickery
 London 2 SW, 2010-11,25/09/2010, KCS Old Boys, Away, Win,62 ,6 , M Watkinson, J Hatcher, B Mairs, S McCarthy, M Powell, D Rae, M Covington, R Brooker, P Davey, A Vaughan, R McGuinness, N Tidman, D McDavitt, S Phillips, J Conway, T Bridgland, A Smith, D Elley
 London 2 SW, 2010-11,18/09/2010, Effingham & Leatherhead, Away, Draw,19 ,19 , M Watkinson, J Hatcher, B Mairs, S Dawson, M Powell, S McCarthy, A Smith, D Rae, P Davey, A Vaughan, R McGuinness, N Tidman, D McDavitt, L Kavanagh, J Conway, T Bridgland, S Vickery, M Covington
 London 2 SW, 2010-11,11/09/2010, Gosport & Fareham, Home, Win,21 ,19 , M Watkinson, J Hatcher, B Mairs, S McCarthy, S Dawson, A Smith, S Vickery, D Rae, R Brooker, A Vaughan, R McGuinness, N Tidman, D McDavitt, S Phillips, J Conway, T Bridgland, M Powell, C Clarence-Smith
 London 2 SW, 2009-10,10/04/2010, London Cornish, Home, Win,34 ,10 , M Watkinson, T Bridgland, M Clet, R Mitchell, S McCarthy, A Vernon, M Covington, R Brooker, A Houston, A Vaughan, S Phillips, N Tidman, C Maguire, J Wilkin, D Elley, T Kiley, L Fennemore, A Turns
