  League,  Season, Date,  Opposition, Location, Result,  Guildford Points, Opposition Points,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 
 Regional 2 South Central, 2024-25,08/03/2025, Chichester, Home, Draw,22 ,22 , J Delderfield,C Coy, J Karimian, J Curtis, A Burrill, J Brodley, T Devereux, J Garner, L Driscoll, J Gwyther, B Bushell, R Voller, C Gibbons, L Bounds, W Craven, B Meager, P Wood, S Poole
 Regional 2 South Central, 2024-25,01/03/2025, Petersfield, Away, Lose,38 ,40 , J Delderfield,J Brodley, J Karimian, J Curtis, J Smith, O Millward, T Devereux, J Garner, C Cuervo, J Gwyther, L Bounds, T Pickford, R Voller, C Gibbons, W Craven, B Meager, P Wood, L Ellis-Jones
 Regional 2 South Central, 2024-25,15/02/2025, North Dorsest, Home, Win,50 ,24 , J Delderfield,C Coy, J Karimian, J Curtis, J Smith, O Millward, T Devereux, J Garner, C Cuervo, J Gwyther, L Bounds, T Pickford, R Voller, A Jordan, C Gibbons, P Wood, O Hirst, S Poole
 Regional 2 South Central, 2024-25,08/02/2025, Tottonians, Home, Draw,17 ,17 , J Delderfield,J Jones, J Karimian, J Curtis, J Smith, B Meager, O Millward, J Garner, I Jones, J Gwyther, L Bounds, T Devereux, T Pickford, T Waddell, C Gibbons, C Coy, T Roaf, H Kwan
 Regional 2 South Central, 2024-25,01/02/2025, Newbury Blues, Away, Lose,20 ,23 , O Hirst,B Meager, J Karimian, J Curtis, J Smith, O Millward, T Devereux, J Garner, C Cuervo, J Gwyther, L Bounds, T Pickford, A Jordan, S Poole, W Craven, L Gunn, F Cole,
 Regional 2 South Central, 2024-25,18/01/2025, Winchester, Home, Lose,11 ,32 , L Brooks,J Jones, J Karimian, A Burrill, G Angel, O Millward, T Devereux, J Garner, C Cuervo, J Gwyther, L Bounds, T Pickford, A Jordan, S Poole, W Craven, O Hurst, L Gunn, C Adams
 Regional 2 South Central, 2024-25,04/01/2025, Bournmouth, Away, Lose,15 ,49 , J Delderfield,E Pasfield, F Cole, A Burrill, G Angel, J Brodley, B Meager, J Garner, C Cuervo, J Gwyther, B Bushell, T Waddell, A Jordan, S Poole, I Jones, J Jones, J Karimian, T Devereux
 Regional 2 South Central, 2024-25,21/12/2024, Chobham, Home, Win,29 ,28 , J Delderfield,E Pasfield, F Cole, A Burrill, G Angel, B Bushell, T Waddell, J Garner, C Cuervo, J Gwyther, I Jones, T Pickford, B King, S Poole, H Cole, B Meager, J Gatty, A Jaya
 Regional 2 South Central, 2024-25,14/12/2024, Farnham, Away, Lose ,-  ,29 , J Karimian,E Pasfield, J Delderfield, A Burrill, G Angel, F Cole, H Phillips, J Brodley, I Jones, C Cuervo, L Bounds, J Garner, B King, B Bushell, C Gibbons, L Brooks, T Roaf, C Adams
 Regional 2 South Central, 2024-25,07/12/2024, Wimborne, Home, Lose,31 ,41 , M Poole,J Jones, J Karimian, G Angel, J Curtis, A Burrill, H Phillips, J Brodley, C Cuervo, J Gwyther, I Jones, J Garner, B King, S Poole, L Ellis-Jones, L Brooks, T Roaf, C Adams
 Regional 2 South Central, 2024-25,30/11/2024, Chichester, Away, Win,32 ,29 , L Brooks,P Wood, J Karimian, M Poole, J Curtis, A Burrill, H Phillips, J Garner, C Cuervo, J Gwyther, I Jones, T Pickford, B King, L Ellis-Jones, H Cole, J Delderfield, T Roaf, C Hamilton
 Regional 2 South Central, 2024-25,16/11/2024, Petersfield, Home, Lose,12 ,31 , M Poole,J Jones, P Wood, G Angel, A Burrill, J Brodley, T Devereux, J Garner, C Cuervo, J Gwyther, I Jones, R Voller, C Cutting, S Poole, L Driscoll, J Karimian, J Curtis, L Ellis-Jones
 Regional 2 South Central, 2024-25,09/11/2024, North Dorsest, Away, Lose,23 ,33 , M Poole,J Brodley, P Wood, G Angel, A Burrill, B Bushell, T Devereux, J Garner, C Cuervo, J Gwyther, I Jones, R Voller, A Jordan, B King, L Driscoll, O Hirst, B Meager, L Ellis-Jones
 Regional 2 South Central, 2024-25,26/10/2024, Newbury Blues, Home, Win,27 ,22 , P Wood,J Brodley, J Karimian, G Angel, A Burrill, O Millward, T Devereux, J Garner, C Cuervo, J Gwyther, I Jones, R Voller, A Jordan, S Poole, L Driscoll, M Poole, H Phillips, B King
 Regional 2 South Central, 2024-25,19/10/2024, Winchester, Away, Lose,12 ,57 , P Wood,E Pasfield, J Karimian, G Angel, A Burrill, O Millward, T Devereux, J Garner, C Cuervo, J Gwyther, S Poole, T Pickford, A Jordan, L Driscoll, R Voller, J Jones, M Poole, C Hamilton
 Regional 2 South Central, 2024-25,12/10/2024, Tottonians, Away, Lose,28 ,55 , P Wood,J Jones, J Karimian, J Brodley, A Burrill, O Millward, T Devereux, J Garner, C Cuervo, W Sheere, C Hamilton, T Pickford, O Fielder, A Jordan, R Voller, L Brooks, G Angel, E Pasfield
 Regional 2 South Central, 2024-25,28/09/2024, Bournmouth, Home, Lose,37 ,45 , J Brodley,J Jones, J Karimian, A Burrill, M Naeem, H Phillips, O Millward, J Garner, C Cuervo, J Gwyther, A Jordan, O Fielder, J Burden, I Jones, R Voller, O Hirst, Josh Jones, L Ellis-Jones
 Regional 2 South Central, 2024-25,21/09/2024, Chobham, Away, Lose,25 ,41 , P Wood,J Jones, L Brooks, A Burrill, H Phillips, E Pasfield, T Devereux, O Millward, C Cuervo, J Gwyther, T Waddell, T Pickford, J Burden, I Jones, R Voller, J Karimian, M Poole, L Ellis-Jones
 Regional 2 South Central, 2024-25,14/09/2024, Farnham, Home, Lose,7 ,38 , P Wood,J Jones, L Brooks, M Naeem, H Phillips, E Pasfield, O Millward, J Brodley, I Jones, J Gwyther, T Waddell, T Devereux, J Burden, A Jordan, R Voller, B Meager, B Bushell, C Gibbons
 Regional 2 South Central, 2024-25,07/09/2024, Andover, Away, Lose,17 ,19 , P Wood,J Jones, L Brooks, J Curtis, M Naeem, E Pasfield, B Bushell, J Brodley, I Jones, J Gwyther, T Waddell, T Pickford, Z Rodber, C Gibbons, R Voller, J Karimian, R Munisinghe, W Sheere
 Regional 2 South Central, 2023-24,06/04/2024, Tottonians, Away, Lose,15 ,25 , L Brooks, J Jones, A Hankins, A Burrill, H Phillips, E Pasfield, B Kingsbury, O Millward, L Driscoll, J Gwyther, L Bounds, O Fielder, Z Rodber, A Jordan, R Voller, J Karimian, L Gunn, J Burden
 Regional 2 South Central, 2023-24,23/03/2024, Chichester, Home, Win,24 ,17 , M Poole, J Jones, A Hankins, F Crean, A Burrill, E Pasfield, B Kingsbury, O Millward, I Jones, R Hopcroft, L Bounds, O Fielder, Z Rodber, A Jordan, R Voller, J Karimian, L Brooks, H Phillips
 Regional 2 South Central, 2023-24,16/03/2024, Farnham, Away, Win,24 ,17 , L Brooks, J Jones, A Hankins, M Poole, A Burrill, O Millward, B Kingsbury, J Garner, L Driscoll, J Gwyther, L Bounds, O Fielder, Z Rodber, A Jordan, R Voller, J Karimian, E Pasfield, H Phillips
 Regional 2 South Central, 2023-24,02/03/2024, Wimborne, Home, Win,35 ,13 , J Karimian, J Jones, A Hankins, A Burrill, F Crean, O Millward, B Kingsbury, J Garner, I Jones, L Driscoll, L Bounds, B Roberts, A Jordan, B Norton, Z Rodber, E Pasfield, M Poole, J Gwyther
 Regional 2 South Central, 2023-24,17/02/2024, Reading, Away, Win,36 ,7 , L Brooks, J Jones, A Hankins, A Burrill, F Crean, O Millward, B Kingsbury, J Garner, I Jones, L Driscoll, A Jordan, O Fielder, B Roberts, B Norton, Z Rodber, J Karimian, M Poole, H Phillips
 Regional 2 South Central, 2023-24,03/02/2024, Witney, Home, Win,40 ,22 , L Brooks, L Gunn, A Hankins, M Poole, A Burrill, H Phillips, O Millward, J Garner, I Jones, L Driscoll, Z Rodber, O Fielder, A Jordan, L Bounds, J Gwyther, J Karimian, E Pasfield, F Barrowcliffe
 Regional 2 South Central, 2023-24,27/01/2024, Jersey, Away, Win,29 ,22 , J Karimian, J Jones, A Hankins, A Burrill, F Crean, O Millward, B Kingsbury, J Garner, I Jones, L Driscoll, B Norton, B Roberts, A Jordan, B Bushell, Z Rodber, L Gunn, M Poole, H Phillips
 Regional 2 South Central, 2023-24,13/01/2024, Newbury Blues, Home, Win,21 ,7 , L Brooks, J Jones, A Hankins, A Burrill, F Crean, E Pasfield, B Kingsbury, J Garner, I Jones, J Gwyther, B Norton, B Roberts, O Fielder, B Bushell, A Jordan, J Karimian, O Millward, H Phillips
 Regional 2 South Central, 2023-24,06/01/2024, Winchester, Away, Lose,17 ,23 , A Hankins, E Pasfield, J Karimian, A Burrill, F Crean, H Phillips, B Kingsbury, J Garner, I Jones, J Gwyther, B Norton, B Roberts, C Cutting, B Bushell, A Jordan, J Jones, L Brooks, C Beecroft
 Regional 2 South Central, 2023-24,16/01/2023, London Irish Wild Geese, Home, Win,25 ,15 , O Hirst, E Pasfield, A Hankins, A Burrill, F Crean, O Millward, B Kingsbury, J Garner, I Jones, J Gwyther, T Waddell, O Fielder, A Jordan, B Roberts, Z Rodber, J Karimian, B Bushell, B Norton
 Regional 2 South Central, 2023-24,09/12/2023, Salisbury, Away, Lose,19 ,21 , O Hirst, J Jones, A Hankins, J Garner, F Crean, B Kingsbury, T Waddell, B Bushell, I Jones, J Gwyther, C Cutting, O Fielder, J Burden, B Roberts, L Outhwaite, L Gunn, E Pasfield, A Jordan
 Regional 2 South Central, 2023-24,02/12/2023, Chichester, Away, Lose,14 ,27 , O Hirst, J Jones, J Karimian, H Phillips, F Crean, O Millward, T Waddell, B Bushell, J Burden, J Gwyther, C Cutting, B Roberts, O Fielder, L Bounds, R Voller, L Gunn, B Brown, L Outhwaite
 Regional 2 South Central, 2023-24,18/11/2023, Farnham, Home, Win,32 ,7 , O Hirst, J Jones, A Hankins, A Burrill, F Crean, H Phillips, T Waddell, O Millward, L Driscoll, J Gwyther, A Jordan, O Fielder, J Burden, Z Rodber, R Voller, L Gunn, B Bushell, B Roberts
 Regional 2 South Central, 2023-24,11/11/2023, Wimborne, Away, Lose,22 ,26 , A Hankins, B Lingsbury, J Karimian, H Phillips, F Crean, O Millward, T Waddell, J Garner, L Driscoll, J Gwyther, A Jordan, O Fielder, J Burden, Z Rodber, R Voller, J Jones, O Hurst, B Roberts
 Regional 2 South Central, 2023-24,04/11/2023, Reading, Home, Win,66 ,-  , A Hankins, E Pasfield, J Karimian, A Burrill, H Phillips, O Millward, T Waddell, J Garner, L Driscoll, J Gwyther, A Jordan, O Fielder, J Burden, C Cutting, R Voller, B Kingsbury, O Hurst, D Forster
 Regional 2 South Central, 2023-24,21/10/2023, Witney, Away, Lose,24 ,26 , A Hankins, E Pasfield, J Karimian, A Burrill, C Beecroft, J Garner, O Millward, B Bushell, J Burden, Z Rodber, L Outhwaite, C Cutting, O Fielder, A Jordan, R Voller, M O'Regan, L Gunn, I Jones
 Regional 2 South Central, 2023-24,14/10/2023, Jersey, Home, Lose,29 ,47 , L Gunn, J Jones, A Hankins, H Phillips, A Burrill, C Beecroft, O Millward, J Garner, L Driscoll, Z Rodber, L Outhwaite, O Fielder, D Forster, A Jordan, R Voller, J Karimian, H Thomas, S Frizzell
 Regional 2 South Central, 2023-24,30/09/2023, Newbury Blues, Away, Win,57 ,21 , L Gunn, E Pasfield, A Hankins, H Phillips, O Hirst, O Millward, T Waddell, J Garner, L Driscoll, Z Rodber, L Outhwaite, O Fielder, D Forster, A Jordan, R Voller, J Jones, C Beecroft, H Thomas
 Regional 2 South Central, 2023-24,23/09/2023, Winchester, Home, Draw,27 ,27 , A Hankins, E Pasfield, J Karimian, T Roaf, H Phillips, O Millward, H Thomas, J Garner, L Driscoll, Z Rodber, L Outhwaite, O Fielder, A Jordan, T Waddell, R Voller, L Gunn, A Burrill, D Forster
 Regional 2 South Central, 2023-24,16/09/2023, London Irish Wild Geese, Away, Lose,36 ,48 , J Karimian, B Meager, A Hankins, T Roaf, O Hirst, C Beecroft, O Millward, J Garner, L Driscoll, J Burden, T Waddell, A Jordan, O Fielder, Z Rodber, R Voller, H Phillips, R Munisinghe, S Frizzell
 Regional 2 South Central, 2023-24,09/09/2023, Salisbury, Home, Win,61 ,26 , O Hirst, E Pasfield, J Karimian, T Roaf, J Garner, C Beecroft, H Thomas, O Millward, J Burden, J Gwyther, T Waddell, C Cutting, A Jordan, L Outhwaite, R Voller, A Hankins, R Munisinghe, Z Rodber
 Regional 2 South Central, 2023-24,02/09/2023, Tottonians, Home, Lose,15 ,29 , O Hirst, E Pasfield, D Beesley, J Gatty, T Roaf, C Beecroft, J Coates, B Bushell, J Burden, J Gwyther, T Waddell, C Cutting, O Fielder, H Cole, R Voller, L Gunn, H Thomas, R Munisinghe
 Regional 2 South East, 2022-23,11/03/2023, Gravesend, Away, Lose,12 ,36 , A Hankins, T Tyson, J Karimian, T Roaf, C Edbrooke, B Meager, M Rowlandson, T Devereux, L Driscoll, S Druce, B Fallowfield, R Voller, J Potter, T Williams, I Jones, J Denning, J Kirk, O Bancroft
 Regional 2 South East, 2022-23,04/03/2023, Old Reigatians, Away, Win,22 ,12 , A Hankins, T Tyson, J Karimian, M Poole, C Edbrooke, C Beecroft, D Cave, T Devereux, L Driscoll, S Druce, B Fallowfield, C Cutting, J Potter, L Outhwaite, I Jones, B Meager, A Maguire, A Burrill
 Regional 2 South East, 2022-23,25/02/2023, Chichester, Home, Win,30 ,19 , A Hankins, T Tyson, A Maguire, M Naeem, M Poole, C Beecroft, C Cutting, T Devereux, L Driscoll, S Druce, B Fallowfield, A Jordan, J Potter, I Jones, R Voller, B Meager, T Roaf, J Denning
